qid	mention	entity	set_id
trec-2010-44_1	madagascar	<dbpedia:Madagascar_(2005_film)>	0
trec-2010-47_1	pink floyd the wall	<dbpedia:Pink_Floyd_–_The_Wall>	0
trec-2010-47_2	pink floyd the wall movie	<dbpedia:Pink_Floyd_–_The_Wall>	0
trec-2010-4_1	neil young	<dbpedia:Neil_Young>	0
trec-2010-4_2	neil young	<dbpedia:Neil_Young>	0
trec-2010-52_1	purpose driven life	<dbpedia:The_Purpose_Driven_Life>	0
trec-2010-52_1	warren	<dbpedia:Rick_Warren>	0
trec-2010-52_2	mccain	<dbpedia:John_McCain>	0
trec-2010-52_2	obama	<dbpedia:Barack_Obama>	0
trec-2010-53_1	gps	<dbpedia:GPS_navigation_device>	0
trec-2010-55_1	bobcat	<dbpedia:Bobcat_Company>	0
trec-2010-55_2	bobcat	<dbpedia:Bobcat_Company>	0
trec-2010-56_2	arizona	<dbpedia:Arizona>	0
trec-2010-59_1	beckham	<dbpedia:David_Beckham>	0
trec-2010-60_2	container store	<dbpedia:The_Container_Store>	0
trec-2010-62_2	nih	<dbpedia:National_Institutes_of_Health>	0
trec-2010-63_1	vegas	<dbpedia:Las_Vegas>	0
trec-2010-63_2	atlantic city	<dbpedia:Atlantic_City,_New_Jersey>	0
trec-2010-64_1	pampered chef	<dbpedia:The_Pampered_Chef>	0
trec-2010-64_2	pampered chef	<dbpedia:The_Pampered_Chef>	0
trec-2010-67_1	martin aircraft	<dbpedia:Glenn_L._Martin_Company>	0
trec-2010-6_1	euclid trucks	<dbpedia:Euclid_Trucks>	0
trec-2010-6_2	euclid trucks	<dbpedia:Euclid_Trucks>	0
trec-2010-71_1	mitchell college athletics	<dbpedia:Mitchell_College>	0
trec-2010-71_2	mitchell college	<dbpedia:Mitchell_College>	0
trec-2010-74_1	tsa	<dbpedia:Transportation_Security_Administration>	0
trec-2010-75_2	michigan	<dbpedia:Michigan>	0
trec-2010-77_2	shakespeare	<dbpedia:William_Shakespeare>	0
trec-2010-78_1	windows defender	<dbpedia:Windows_Defender>	0
trec-2010-78_2	windows defender	<dbpedia:Windows_Defender>	0
trec-2010-84_1	discovery channel	<dbpedia:Discovery_Channel>	0
trec-2010-86_1	mitchell college	<dbpedia:Mitchell_College>	0
trec-2010-88_1	rick warren	<dbpedia:Rick_Warren>	0
trec-2010-88_2	rick warren debate	<dbpedia:Rick_Warren>	0
trec-2010-8_1	defender game	<dbpedia:Defender_(video_game)>	0
trec-2010-8_2	defender game	<dbpedia:Defender_(video_game)>	0
trec-2010-91_1	hughes	<dbpedia:Hughes_Communications>	0
trec-2010-92_1	us	<dbpedia:United_States>	0
trec-2010-92_2	us	<dbpedia:United_States>	0
trec-2010-93_1	arizona	<dbpedia:Arizona>	0
trec-2010-93_2	arizona	<dbpedia:Arizona>	0
trec-2010-94_1	disneyland	<dbpedia:Disneyland>	0
trec-2010-94_2	disneyland	<dbpedia:Disneyland>	0
trec-2010-96_1	american standard	<dbpedia:American_Standard_Brands>	0
trec-2010-98_1	star trek	<dbpedia:Star_Trek>	0
trec-2010-98_2	star trek voyager	<dbpedia:Star_Trek:_Voyager>	0
trec-2010-99_1	volvo semi trucks	<dbpedia:Volvo_Trucks>	0
trec-2010-99_2	xc90	<dbpedia:Volvo_XC90>	0
trec-2011-11_1	hawaii	<dbpedia:Hawaii>	0
trec-2011-11_2	hawaii	<dbpedia:Hawaii>	0
trec-2011-11_3	condo	<dbpedia:Condominium>	0
trec-2011-11_3	hawaii	<dbpedia:Hawaii>	0
trec-2011-11_4	condo	<dbpedia:Condominium>	0
trec-2011-11_4	hawaii	<dbpedia:Hawaii>	0
trec-2011-12_3	maryland	<dbpedia:Maryland>	0
trec-2011-15_1	hardees	<dbpedia:Hardee's>	0
trec-2011-15_2	hardees	<dbpedia:Hardee's>	0
trec-2011-15_3	hardees	<dbpedia:Hardee's>	0
trec-2011-16_2	hardees	<dbpedia:Hardee's>	0
trec-2011-17_1	berkley	<dbpedia:W._R._Berkley>	0
trec-2011-17_2	berkley	<dbpedia:W._R._Berkley>	0
trec-2011-17_3	berkley	<dbpedia:W._R._Berkley>	0
trec-2011-19_1	Iwo Jima	<dbpedia:Iwo_Jima>	0
trec-2011-19_2	Iwo Jima	<dbpedia:Iwo_Jima>	0
trec-2011-19_3	Iwo Jima	<dbpedia:Iwo_Jima>	0
trec-2011-1_1	peace corp	<dbpedia:Peace_Corps>	0
trec-2011-1_2	peace corp	<dbpedia:Peace_Corps>	0
trec-2011-1_3	peace corp	<dbpedia:Peace_Corps>	0
trec-2011-20_1	dooney bourke	<dbpedia:Dooney_&_Bourke>	0
trec-2011-20_2	dooney bourke	<dbpedia:Dooney_&_Bourke>	0
trec-2011-20_3	dooney bourke	<dbpedia:Dooney_&_Bourke>	0
trec-2011-21_1	dooney and bourke	<dbpedia:Dooney_&_Bourke>	0
trec-2011-21_2	dooney and bourke	<dbpedia:Dooney_&_Bourke>	0
trec-2011-21_3	dooney and bourke	<dbpedia:Dooney_&_Bourke>	0
trec-2011-22_2	nhs	<dbpedia:National_Health_Service_(England)>	0
trec-2011-23_2	dupont	<dbpedia:DuPont>	0
trec-2011-24_1	DuPont	<dbpedia:DuPont>	0
trec-2011-24_2	DuPont	<dbpedia:DuPont>	0
trec-2011-24_3	dupont	<dbpedia:DuPont>	0
trec-2011-31_1	Greenland	<dbpedia:Greenland,_New_Hampshire>	0
trec-2011-31_1	new hampshire	<dbpedia:New_Hampshire>	0
trec-2011-31_2	Greenland	<dbpedia:Greenland,_New_Hampshire>	0
trec-2011-32_1	greenland	<dbpedia:Greenland,_New_Hampshire>	0
trec-2011-32_1	new hampshire	<dbpedia:New_Hampshire>	0
trec-2011-35_1	skagit valley	<dbpedia:Skagit_Valley>	0
trec-2011-35_10	skagit valley	<dbpedia:Skagit_Valley>	0
trec-2011-35_4	skagit valley	<dbpedia:Skagit_Valley>	0
trec-2011-35_5	skagit valley	<dbpedia:Skagit_Valley>	0
trec-2011-35_6	skagit valley	<dbpedia:Skagit_Valley>	0
trec-2011-35_7	skagit valley	<dbpedia:Skagit_Valley>	0
trec-2011-35_8	skagit county	<dbpedia:Skagit_County,_Washington>	0
trec-2011-35_9	skagit valley	<dbpedia:Skagit_Valley>	0
trec-2011-39_1	Houston community college	<dbpedia:Houston_Community_College_System>	0
trec-2011-39_2	Houston community college	<dbpedia:Houston_Community_College_System>	0
trec-2011-40_2	Houston community college	<dbpedia:Houston_Community_College_System>	0
trec-2011-40_3	Houston community college	<dbpedia:Houston_Community_College_System>	0
trec-2011-41_1	Jay-Z	<dbpedia:Jay-Z>	0
trec-2011-41_2	Jay-Z	<dbpedia:Jay-Z>	0
trec-2011-41_3	Jay-Z	<dbpedia:Jay-Z>	0
trec-2011-43_1	IMG	<dbpedia:IMG_(company)>	0
trec-2011-43_2	international management group	<dbpedia:IMG_(company)>	0
trec-2011-43_3	img	<dbpedia:IMG_(company)>	0
trec-2011-43_3	vijay singh	<dbpedia:Vijay_Singh>	0
trec-2011-44_1	Merrill lynch	<dbpedia:Merrill_Lynch>	0
trec-2011-44_2	Merrill lynch	<dbpedia:Merrill_Lynch>	0
trec-2011-44_3	Merrill lynch	<dbpedia:Merrill_Lynch>	0
trec-2011-45_1	merrill lynch	<dbpedia:Merrill_Lynch>	0
trec-2011-45_2	merrill lynch	<dbpedia:Merrill_Lynch>	0
trec-2011-45_3	merrill lynch	<dbpedia:Merrill_Lynch>	0
trec-2011-45_4	merrill lynch	<dbpedia:Merrill_Lynch>	0
trec-2011-45_5	merrill lynch	<dbpedia:Merrill_Lynch>	0
trec-2011-46_2	isabelle dinoire	<dbpedia:Isabelle_Dinoire>	0
trec-2011-46_3	isabelle dinoire	<dbpedia:Isabelle_Dinoire>	0
trec-2011-48_1	Irving Berlin	<dbpedia:Irving_Berlin>	0
trec-2011-48_2	Irving Berlin	<dbpedia:Irving_Berlin>	0
trec-2011-48_3	Irving Berlin	<dbpedia:Irving_Berlin>	0
trec-2011-48_4	Irving Berlin	<dbpedia:Irving_Berlin>	0
trec-2011-49_1	cunard cruise lines	<dbpedia:Cunard_Line>	0
trec-2011-49_2	carnival	<dbpedia:Carnival_Cruise_Lines>	0
trec-2011-49_2	uk	<dbpedia:United_Kingdom>	0
trec-2011-49_3	cunard cruise lines	<dbpedia:Cunard_Line>	0
trec-2011-49_4	cunard cruise lines	<dbpedia:Cunard_Line>	0
trec-2011-4_2	patient.co..uk	<dbpedia:Patient_UK>	0
trec-2011-50_1	harry potter and the goblet of fire	<dbpedia:Harry_Potter_and_the_Goblet_of_Fire>	0
trec-2011-50_1	harry potter and the goblet of fire	<dbpedia:Harry_Potter_and_the_Goblet_of_Fire_(film)>	1
trec-2011-50_2	harry potter and the goblet of fire	<dbpedia:Harry_Potter_and_the_Goblet_of_Fire>	0
trec-2011-50_3	harry potter and the goblet of fire	<dbpedia:Harry_Potter_and_the_Goblet_of_Fire>	0
trec-2011-50_4	harry potter and the goblet of fire	<dbpedia:Harry_Potter_and_the_Goblet_of_Fire>	0
trec-2011-51_1	jasper fforde	<dbpedia:Jasper_Fforde>	0
trec-2011-51_2	jasper fforde	<dbpedia:Jasper_Fforde>	0
trec-2011-51_3	jasper fforde	<dbpedia:Jasper_Fforde>	0
trec-2011-51_3	thursday next	<dbpedia:Thursday_Next>	0
trec-2011-52_1	Guinness	<dbpedia:Guinness>	0
trec-2011-52_2	Guinnes	<dbpedia:Guinness>	0
trec-2011-52_3	Guinness	<dbpedia:Guinness>	0
trec-2011-52_4	Guinness	<dbpedia:Guinness>	0
trec-2011-52_5	Guinnes	<dbpedia:Guinness>	0
trec-2011-53_1	Guinness	<dbpedia:Guinness>	0
trec-2011-53_3	Guinness	<dbpedia:Guinness>	0
trec-2011-53_4	Guinness	<dbpedia:Guinness>	0
trec-2011-53_4	Ireland	<dbpedia:Ireland>	0
trec-2011-53_5	Guinness	<dbpedia:Guinness>	0
trec-2011-53_5	Ireland	<dbpedia:Ireland>	0
trec-2011-53_6	Guinness	<dbpedia:Guinness>	0
trec-2011-53_7	uk	<dbpedia:United_Kingdom>	0
trec-2011-54_1	usa	<dbpedia:United_States>	0
trec-2011-54_3	usa	<dbpedia:United_States>	0
trec-2011-54_4	usa	<dbpedia:United_States>	0
trec-2011-56_1	chanel	<dbpedia:Chanel>	0
trec-2011-56_2	chanel	<dbpedia:Chanel>	0
trec-2011-56_3	chanel	<dbpedia:Chanel>	0
trec-2011-56_4	chanel	<dbpedia:Chanel>	0
trec-2011-56_5	chanel	<dbpedia:Chanel>	0
trec-2011-56_6	chanel	<dbpedia:Chanel>	0
trec-2011-58_4	world snooker "tournaments annually"	<dbpedia:World_Snooker_Championship>	0
trec-2011-58_5	world snooker tournaments	<dbpedia:World_Snooker_Championship>	0
trec-2011-59_2	marsupials cartoon	<dbpedia:Marsupilami_(1993_TV_series)>	0
trec-2011-5_1	medicare	<dbpedia:Medicare_(United_States)>	0
trec-2011-5_2	medicare	<dbpedia:Medicare_(United_States)>	0
trec-2011-60_6	australia	<dbpedia:Australia>	0
trec-2011-60_6	marsupial	<dbpedia:Marsupilami>	0
trec-2011-60_9	marsupial cartoon	<dbpedia:Marsupilami_(1993_TV_series)>	0
trec-2011-61_1	alan greenspan	<dbpedia:Alan_Greenspan>	0
trec-2011-64_2	United States	<dbpedia:United_States>	0
trec-2011-64_2	australia	<dbpedia:Australia>	0
trec-2011-66_2	Australia	<dbpedia:Australia>	0
trec-2011-66_3	Australia	<dbpedia:Australia>	0
trec-2011-66_3	US	<dbpedia:United_States>	0
trec-2011-66_4	Australia	<dbpedia:Australia>	0
trec-2011-66_5	Australia	<dbpedia:Australia>	0
trec-2011-67_1	joseph steffen	<dbpedia:Lincoln_Steffens>	0
trec-2011-67_3	joseph steffen	<dbpedia:Lincoln_Steffens>	0
trec-2011-68_1	jack nicholson	<dbpedia:Jack_Nicholson>	0
trec-2011-68_2	jack nicholson	<dbpedia:Jack_Nicholson>	0
trec-2011-68_3	jack nicholson	<dbpedia:Jack_Nicholson>	0
trec-2011-68_4	jack nicholson	<dbpedia:Jack_Nicholson>	0
trec-2011-68_5	jack nicholson	<dbpedia:Jack_Nicholson>	0
trec-2011-6_1	paramount	<dbpedia:Paramount_Pictures>	0
trec-2011-6_2	paramount	<dbpedia:Paramount_Pictures>	0
trec-2011-9_3	USA	<dbpedia:United_States>	0
trec-2012-12_1	Kursk	<dbpedia:Kursk>	0
trec-2012-12_1	russia today	<dbpedia:RT_(TV_network)>	0
trec-2012-12_2	russiatoday.ru	<dbpedia:RT_(TV_network)>	0
trec-2012-16_1	Barents see	<dbpedia:Barents_Sea>	0
trec-2012-16_1	Kursk	<dbpedia:Kursk>	0
trec-2012-16_2	Barents see	<dbpedia:Barents_Sea>	0
trec-2012-16_2	Kursk	<dbpedia:Kursk>	0
trec-2012-16_3	Barents sea	<dbpedia:Barents_Sea>	0
trec-2012-16_3	Kursk	<dbpedia:Kursk>	0
trec-2012-17_1	india government	<dbpedia:Government_of_India>	0
trec-2012-17_1	miss universe	<dbpedia:Miss_Universe>	0
trec-2012-17_2	indian government	<dbpedia:Government_of_India>	0
trec-2012-17_2	miss universe	<dbpedia:Miss_Universe>	0
trec-2012-18_1	Miss Universe	<dbpedia:Miss_Universe>	0
trec-2012-18_2	Miss Universe	<dbpedia:Miss_Universe>	0
trec-2012-20_1	port arthur	<dbpedia:Port_Arthur,_Tasmania>	0
trec-2012-22_1	australia	<dbpedia:Australia>	0
trec-2012-22_2	martin bryant	<dbpedia:Martin_Bryant>	0
trec-2012-22_2	port arthur	<dbpedia:Port_Arthur,_Tasmania>	0
trec-2012-22_5	australia	<dbpedia:Australia>	0
trec-2012-23_1	martin bryant	<dbpedia:Martin_Bryant>	0
trec-2012-23_1	port arthur	<dbpedia:Port_Arthur,_Tasmania>	0
trec-2012-23_2	martin bryant	<dbpedia:Martin_Bryant>	0
trec-2012-23_2	port arthur	<dbpedia:Port_Arthur,_Tasmania>	0
trec-2012-24_1	france	<dbpedia:France_national_football_team>	0
trec-2012-24_1	world cup	<dbpedia:FIFA_World_Cup>	0
trec-2012-24_2	france	<dbpedia:France_national_football_team>	0
trec-2012-24_3	brazil	<dbpedia:Brazil_national_football_team>	0
trec-2012-24_3	france	<dbpedia:France_national_football_team>	0
trec-2012-25_1	france	<dbpedia:France>	0
trec-2012-25_2	france	<dbpedia:France_national_football_team>	0
trec-2012-25_2	world cup	<dbpedia:FIFA_World_Cup>	0
trec-2012-25_3	france	<dbpedia:France_national_football_team>	0
trec-2012-25_3	world cup	<dbpedia:FIFA_World_Cup>	0
trec-2012-25_4	france	<dbpedia:France_national_football_team>	0
trec-2012-25_4	world cup	<dbpedia:FIFA_World_Cup>	0
trec-2012-25_5	france football team	<dbpedia:France_national_football_team>	0
trec-2012-25_6	world cup	<dbpedia:FIFA_World_Cup>	0
trec-2012-25_7	france football team	<dbpedia:France_national_football_team>	0
trec-2012-25_7	world cup	<dbpedia:FIFA_World_Cup>	0
trec-2012-26_1	france	<dbpedia:France>	1
trec-2012-26_1	france	<dbpedia:France_national_football_team>	0
trec-2012-26_1	world cup	<dbpedia:FIFA_World_Cup>	0
trec-2012-26_1	world cup	<dbpedia:FIFA_World_Cup>	1
trec-2012-26_2	france	<dbpedia:France>	0
trec-2012-26_2	world cup	<dbpedia:FIFA_World_Cup>	0
trec-2012-26_3	france	<dbpedia:France>	0
trec-2012-26_3	world cup	<dbpedia:FIFA_World_Cup>	0
trec-2012-27_3	world cup	<dbpedia:FIFA_World_Cup>	0
trec-2012-28_1	france	<dbpedia:France>	0
trec-2012-28_1	world cup	<dbpedia:FIFA_World_Cup>	0
trec-2012-28_2	france	<dbpedia:France>	1
trec-2012-28_2	france	<dbpedia:France_national_football_team>	0
trec-2012-28_2	world cup	<dbpedia:FIFA_World_Cup>	0
trec-2012-28_2	world cup	<dbpedia:FIFA_World_Cup>	1
trec-2012-28_3	france	<dbpedia:France>	1
trec-2012-28_3	france	<dbpedia:France_national_football_team>	0
trec-2012-28_3	world cup	<dbpedia:FIFA_World_Cup>	0
trec-2012-28_3	world cup	<dbpedia:FIFA_World_Cup>	1
trec-2012-29_3	beverly hills	<dbpedia:Beverly_Hills,_California>	0
trec-2012-34_2	new york stock exchange	<dbpedia:New_York_Stock_Exchange>	0
trec-2012-35_1	merck &amp;amp; co.	<dbpedia:Merck_&_Co.>	0
trec-2012-35_2	merck and co.	<dbpedia:Merck_&_Co.>	0
trec-2012-35_3	merck and co	<dbpedia:Merck_&_Co.>	0
trec-2012-35_4	merck and co	<dbpedia:Merck_&_Co.>	0
trec-2012-36_1	Merck	<dbpedia:Merck_&_Co.>	0
trec-2012-36_2	Merck	<dbpedia:Merck_&_Co.>	0
trec-2012-36_3	merck	<dbpedia:Merck_&_Co.>	0
trec-2012-37_1	Merck	<dbpedia:Merck_&_Co.>	0
trec-2012-37_2	Merck	<dbpedia:Merck_&_Co.>	0
trec-2012-37_2	US	<dbpedia:United_States>	0
trec-2012-38_1	Kurosawa	<dbpedia:Akira_Kurosawa>	0
trec-2012-38_2	Kurosawa	<dbpedia:Akira_Kurosawa>	0
trec-2012-39_1	Akira Kurosawa	<dbpedia:Akira_Kurosawa>	0
trec-2012-39_2	Akira Kurosawa	<dbpedia:Akira_Kurosawa>	0
trec-2012-39_2	india	<dbpedia:India>	0
trec-2012-39_3	Akira Kurosawa	<dbpedia:Akira_Kurosawa>	0
trec-2012-39_4	Akira Kurosawa	<dbpedia:Akira_Kurosawa>	0
trec-2012-4_1	pocono mountains	<dbpedia:Pocono_Mountains>	0
trec-2012-4_2	pocono mountains	<dbpedia:Pocono_Mountains>	0
trec-2012-4_3	pocono mountains	<dbpedia:Pocono_Mountains>	0
trec-2012-4_4	pocono mountains	<dbpedia:Pocono_Mountains>	0
trec-2012-55_2	uk	<dbpedia:United_Kingdom>	0
trec-2012-55_3	uk	<dbpedia:United_Kingdom>	0
trec-2012-55_4	uk	<dbpedia:United_Kingdom>	0
trec-2012-57_3	uk	<dbpedia:United_Kingdom>	0
trec-2012-57_5	uk	<dbpedia:United_Kingdom>	0
trec-2012-5_1	pocono mountains	<dbpedia:Pocono_Mountains>	0
trec-2012-5_2	pocono mountains	<dbpedia:Pocono_Mountains>	0
trec-2012-5_3	pocono mountains	<dbpedia:Pocono_Mountains>	0
trec-2012-67_2	Merck Manual	<dbpedia:Merck_Manual_of_Diagnosis_and_Therapy>	0
trec-2012-6_1	pennsylvania	<dbpedia:Pennsylvania>	0
trec-2012-6_1	pocono mountains	<dbpedia:Pocono_Mountains>	0
trec-2012-6_10	pocono mountains	<dbpedia:Pocono_Mountains>	0
trec-2012-6_2	pennsylvania	<dbpedia:Pennsylvania>	0
trec-2012-6_2	pocono mountains	<dbpedia:Pocono_Mountains>	0
trec-2012-6_3	pennsylvania	<dbpedia:Pennsylvania>	0
trec-2012-6_3	pocono mountains	<dbpedia:Pocono_Mountains>	0
trec-2012-6_4	camelbeach	<dbpedia:Camelbeach_Waterpark>	0
trec-2012-6_4	pocono mountains	<dbpedia:Pocono_Mountains>	0
trec-2012-6_5	camelbeach	<dbpedia:Camelbeach_Waterpark>	0
trec-2012-6_5	pocono mountains	<dbpedia:Pocono_Mountains>	0
trec-2012-6_6	pocono mountains	<dbpedia:Pocono_Mountains>	0
trec-2012-6_7	pocono mountains	<dbpedia:Pocono_Mountains>	0
trec-2012-6_8	pocono mountains	<dbpedia:Pocono_Mountains>	0
trec-2012-71_5	uk	<dbpedia:United_Kingdom>	0
trec-2012-74_2	UK	<dbpedia:United_Kingdom>	0
trec-2012-75_2	uk	<dbpedia:United_Kingdom>	0
trec-2012-77_2	uk	<dbpedia:United_Kingdom>	0
trec-2012-7_1	pocono	<dbpedia:Pocono_Mountains>	0
trec-2012-7_3	Philidelphia	<dbpedia:Philadelphia>	0
trec-2012-80_2	kenya	<dbpedia:Kenya>	0
trec-2012-80_2	swahili	<dbpedia:Swahili_coast>	0
trec-2012-81_2	kenya	<dbpedia:Kenya>	0
trec-2012-82_2	Kenyan	<dbpedia:Kenya>	0
trec-2012-83_1	kenya	<dbpedia:Kenya>	0
trec-2012-83_2	kenya	<dbpedia:Kenya>	0
trec-2012-83_2	swahili	<dbpedia:Swahili_coast>	0
trec-2012-83_3	www.allrecipes.com	<dbpedia:Allrecipes.com>	0
trec-2012-84_2	kenya	<dbpedia:Kenya>	0
trec-2012-87_3	Edison	<dbpedia:Thomas_Edison>	0
trec-2012-93_2	connecticut	<dbpedia:Connecticut>	0
trec-2013-104_1	IRS	<dbpedia:Internal_Revenue_Service>	0
trec-2013-105_1	uss abraham lincoln	<dbpedia:USS_Abraham_Lincoln_(CVN-72)>	0
trec-2013-105_1	uss abraham lincoln	<dbpedia:USS_Abraham_Lincoln_(SSBN-602)>	1
trec-2013-106_1	dulles airport	<dbpedia:Washington_Dulles_International_Airport>	0
trec-2013-108_1	Boston pops	<dbpedia:Boston_Pops_Orchestra>	0
trec-2013-110_1	Vanuatu	<dbpedia:Vanuatu>	0
trec-2013-120_1	Philadelphia	<dbpedia:Philadelphia>	0
trec-2013-121_1	Philadelphia	<dbpedia:Philadelphia>	0
trec-2013-124_1	god	<dbpedia:God>	0
trec-2013-125_1	god	<dbpedia:God>	0
trec-2013-126_1	africa	<dbpedia:Africa>	0
trec-2013-128_1	EU	<dbpedia:European_Union>	0
trec-2013-12_1	kansas city	<dbpedia:Kansas_City_metropolitan_area>	0
trec-2013-12_2	kansas city	<dbpedia:Kansas_City,_Missouri>	0
trec-2013-12_3	kansas city chiefs	<dbpedia:Kansas_City_Chiefs>	0
trec-2013-130_1	Jp Morgan Chase	<dbpedia:JPMorgan_Chase>	0
trec-2013-131_1	us	<dbpedia:United_States>	0
trec-2013-13_1	kansas city MO	<dbpedia:Kansas_City,_Missouri>	0
trec-2013-13_2	kansas city airport	<dbpedia:Kansas_City_International_Airport>	0
trec-2013-13_3	kansas city	<dbpedia:Kansas_City,_Missouri>	0
trec-2013-13_4	kansas city	<dbpedia:Kansas_City,_Missouri>	0
trec-2013-13_5	kansas city	<dbpedia:Kansas_City,_Missouri>	0
trec-2013-13_6	kansas city	<dbpedia:Kansas_City,_Missouri>	0
trec-2013-13_7	kansas city	<dbpedia:Kansas_City,_Missouri>	0
trec-2013-13_8	kansas city	<dbpedia:Kansas_City,_Missouri>	0
trec-2013-14_1	uk	<dbpedia:United_Kingdom>	0
trec-2013-14_2	uk	<dbpedia:United_Kingdom>	0
trec-2013-14_4	uk	<dbpedia:United_Kingdom>	0
trec-2013-17_1	jp morgan	<dbpedia:JPMorgan_Chase>	0
trec-2013-17_2	jp morgan	<dbpedia:JPMorgan_Chase>	0
trec-2013-17_3	jp morgan	<dbpedia:JPMorgan_Chase>	0
trec-2013-17_4	jp morgan	<dbpedia:JPMorgan_Chase>	0
trec-2013-17_5	jp morgan	<dbpedia:JPMorgan_Chase>	0
trec-2013-17_5	microsoft	<dbpedia:Microsoft>	0
trec-2013-18_1	JP Morgan Chase	<dbpedia:JPMorgan_Chase>	0
trec-2013-18_2	JP Morgan Chase	<dbpedia:JPMorgan_Chase>	0
trec-2013-18_3	JP Morgan Chase	<dbpedia:JPMorgan_Chase>	0
trec-2013-18_4	JP Morgan Chase	<dbpedia:JPMorgan_Chase>	0
trec-2013-18_5	JP Morgan Chase	<dbpedia:JPMorgan_Chase>	0
